File,Title,Background
"assets/stickers/heart-popping-pale-pink.gif","Heart Popping",#000
"assets/stickers/heart-popping-hot-pink.gif","Heart Popping",#000
"assets/stickers/heart-popping-lilac.gif","Heart Popping",#000
"assets/stickers/love-heart-funky.gif","Love",#000
"assets/stickers/cool-funky.gif","Cool",#000
"assets/stickers/yellow-daisies.gif","Yellow Daisies",#000
"assets/stickers/three-sparkles-gold.gif","Sparkles",#000
"assets/stickers/three-sparkles-white.gif","Sparkles",#000
"assets/stickers/sparkle-trail.gif","Sparkle Trail",#000
"assets/stickers/heart-sparkles-2.gif","Heart Sparkles",#000
"assets/stickers/sparkle-trail-1.gif","Sparkle Trail",#000
"assets/stickers/sparkle-trail-2.gif","Sparkle Trail",#000
"assets/stickers/flower-ring-1.gif","Flower Ring",#000
"assets/stickers/flower-ring-2.gif","Flower Ring",#000
"assets/stickers/lotus-blossom.gif","Lotus Blossom",#000
"assets/stickers/look-2.gif","Look",#000
"assets/stickers/amazing-2.gif","Amazing",#000
"assets/stickers/hearts-fireworks.gif","Hearts",#000
"assets/stickers/good-mood-1.gif","Good Mood",#fff
"assets/stickers/good-mood-2.gif","Good Mood",#fff
"assets/stickers/three-flowers-chalk.gif","Flowers",#fff
"assets/stickers/ha-ha-1.gif","Ha Ha",#000
"assets/stickers/ha-ha-2.gif","Ha Ha",#000
"assets/stickers/ha-ha-3.gif","Ha Ha",#fff
"assets/stickers/ha-ha-4.gif","Ha Ha",#000
"assets/stickers/good-mood-3.gif","Good Mood",#000
"assets/stickers/popping-sparkles.gif","Sparkles",#000
"assets/stickers/congrats.gif","Congrats!",#000
"assets/stickers/ghosty-2.gif","Ghosty",#fff
"assets/stickers/love-heart-splodge.gif","Love",#000
"assets/stickers/pretty-flowers.gif","Pretty Flowers",#000
"assets/stickers/heart-speech-bubble.gif","Heart Speech Bubble",#000
"assets/stickers/cute-cat-alert.gif","Cute Cat Alert!",#000
"assets/stickers/big-daisies.gif","Big Daisies",#000
"assets/stickers/three-stars.gif","Stars",#000
"assets/stickers/growing-star-vote.gif","Vote!",#000
"assets/stickers/growing-star-yes.gif","Yes!",#000
"assets/stickers/growing-star-love-this.gif","Love This!",#000
"assets/stickers/growing-star-star.gif","Star",#000
"assets/stickers/growing-star-wow.gif","Wow!",#000
"assets/stickers/growing-star.gif","Star",#000
"assets/stickers/new-post-splodge-1.gif","New Post",#000
"assets/stickers/new-post-splodge-2.gif","New Post",#fff
"assets/stickers/so-cute.gif","So Cute!",#000
"assets/stickers/yum-yum.gif","Yum Yum!",#fff
"assets/stickers/pyjama-cat.gif","Cat",#000
"assets/stickers/flower-pot-1.gif","Flower",#000
"assets/stickers/flower-pot-2.gif","Flower",#000
"assets/stickers/single-daisy.gif","Daisy",#000
"assets/stickers/berries.gif","Berries",#fff
"assets/stickers/ghost-splat.gif","Ghost",#000
"assets/stickers/sparkles-2.gif","Sparkles",#000
"assets/stickers/happy-days.gif","Happy Days",#000
"assets/stickers/laptop-1.gif","Laptop / Coffee",#fff
"assets/stickers/laptop-2.gif","Eat Sleep Zoom Repeat",#fff
"assets/stickers/relax.gif","And...Relax!",#000
"assets/stickers/blue-hearts.gif","Hearts",#fff
"assets/stickers/confetti-drop.gif","Confetti",#000
"assets/stickers/confetti-float.gif","Confetti",#000
"assets/stickers/awesome.gif","Awesome!",#000
"assets/stickers/coloured-hearts.gif","Hearts",#fff
"assets/stickers/heart-fireworks.gif","Heart Fireworks",#000
"assets/stickers/artist-at-work.gif","Artist At Work",#000
"assets/stickers/mandala-1.gif","Mandala",#000
"assets/stickers/mandala-2.gif","Mandala",#fff
"assets/stickers/be-you.gif","Be You",#000
"assets/stickers/heart-ipad.gif","Heart",#000
"assets/stickers/bee-kind-2.gif","Bee Kind",#fff
"assets/stickers/three-purple-stars.gif","Stars",#000
"assets/stickers/love-graffiti-1.gif","Love",#000
"assets/stickers/rainbow-heart.gif","Heart",#000
"assets/stickers/bouncing-heart-1.gif","Heart",#000
"assets/stickers/caterpillar.gif","Caterpillar",#000
"assets/stickers/moving-hearts.gif","Hearts",#fff
"assets/stickers/rippling-hearts.gif","Hearts",#000
"assets/stickers/rippling-hearts-2.gif","Hearts",#000
"assets/stickers/rippling-hearts-3.gif","Hearts",#000
"assets/stickers/rippling-hearts-4.gif","Hearts",#000
"assets/stickers/rippling-hearts-5.gif","Hearts",#000
"assets/stickers/rippling-hearts-6.gif","Hearts",#000
"assets/stickers/new-post-squared.gif","Hearts",#000
"assets/stickers/star-circle.gif","Stars",#000
"assets/stickers/color-propeller.gif","Color Propeller",#000
"assets/stickers/cat-hearts.gif","Cat Hearts",#000
"assets/stickers/cat-puff-1.gif","Cat",#000
"assets/stickers/cat-puff-2.gif","Cat",#fff
"assets/stickers/cat-roar.gif","Cat",#fff
"assets/stickers/morning-mood.gif","Morning Mood",#fff
"assets/stickers/snowball-snowman.gif","Snowball Fight!",#000
"assets/stickers/lucy-and-cat.gif","Lucy and Cat",#000
"assets/stickers/mask-etiquette.gif","Mask Etiquette",#fff
"assets/stickers/xmas-tree-decorating.gif","Xmas Ttree Decorating",#fff
"assets/stickers/xmas-tree.gif","Xmas Tree",#000
"assets/stickers/xmas-decorations.gif","Xmas Decorations",#000
"assets/stickers/bad-hair.gif","Bad Hair",#000
"assets/stickers/elf.gif","Elf",#000
"assets/stickers/besties.gif","Besties",#fff
"assets/stickers/dancing-elf.gif","Dancing Elf",#fff
"assets/stickers/dancing-elf-2.gif","Dancing Elf",#fff
"assets/stickers/dancing-elves.gif","Dancing Elves",#fff
"assets/stickers/merry-xmas.gif","Merry Xmas",#000
"assets/stickers/xmas-stocking-cat.gif","Xmas Surprise!",#fff
"assets/stickers/merry-crimbles.gif","Xmas Surprise!",#000
"assets/stickers/always-be-dancing.gif","Always Be Dancing",#000
"assets/stickers/happy-2021.gif","Happy 2021!",#000
"assets/stickers/rupert-snacks.gif","Snacks!",#000
